"log_id","badge_uid","member_id","access_time","access_decision","denial_reason"
"107","B-68F96B4B05AE3","13","2025-10-23 12:52:09+02","granted",NULL
"108","B-68F9651092F50","9","2025-10-23 12:52:11+02","granted",NULL
"109","B-68F96B4B05AE3","13","2025-10-23 12:58:32+02","granted",NULL
"110","B-68F96B4B05AE3","13","2025-10-23 13:05:53+02","granted",NULL
"111","B-68F96967BBEE1","12","2025-10-23 13:12:33+02","granted",NULL
"112","B-68F96B4B05AE3","13","2025-10-23 13:29:30+02","granted",NULL
"113","UNKNOWN","3","2025-10-23 13:33:31+02","denied","No badge assigned"
"114","B-68F92FCC766BC","5","2025-10-23 13:35:10+02","granted",NULL
"115","B-68F92FCC766BC","5","2025-10-23 13:35:12+02","granted",NULL
"118","UNKNOWN","2","2025-10-23 13:44:39+02","denied","No badge assigned"
"119","B-68F92FCC766BC","5","2025-10-23 13:48:56+02","granted",NULL
"120","B-68F93720ACF83","6","2025-10-23 13:48:58+02","granted",NULL
"121","UNKNOWN","3","2025-10-23 13:55:17+02","denied","No badge assigned"
"122","B-68F93720ACF83","6","2025-10-23 13:55:19+02","granted",NULL
"123","B-68F96B4B05AE3","13","2025-10-23 14:34:49+02","granted",NULL
"124","B-68F9651092F50","9","2025-10-23 15:13:20+02","granted",NULL
"125","B-68F96B4B05AE3","13","2025-10-23 15:44:36+02","granted",NULL
"126","UNKNOWN","3","2025-10-23 15:46:37+02","denied","No badge assigned"
"127","UNKNOWN","2","2025-10-23 15:46:39+02","denied","No badge assigned"
"128","UNKNOWN","2","2025-10-23 15:47:06+02","denied","No badge assigned"
"129","B-68F96B4B05AE3","13","2025-10-23 16:06:33+02","granted",NULL
"130","UNKNOWN","3","2025-10-23 17:10:47+02","denied","No badge assigned"
"131","UNKNOWN","3","2025-10-23 17:15:18+02","denied","No badge assigned"
"132","UNKNOWN","3","2025-10-23 17:15:35+02","denied","No badge assigned"
"133","UNKNOWN","3","2025-10-23 17:16:22+02","denied","No badge assigned"
"134","UNKNOWN","2","2025-10-23 17:23:24+02","denied","No badge assigned"
"135","UNKNOWN","3","2025-10-23 17:32:56+02","denied","No badge assigned"
"136","UNKNOWN","3","2025-10-23 17:33:19+02","denied","No badge assigned"
"137","UNKNOWN","3","2025-10-23 17:43:25+02","denied","No badge assigned"
"139","B-68F9651092F50","9","2025-10-23 18:08:28+02","granted",NULL
"140","UNKNOWN","3","2025-10-23 18:51:09+02","denied","No badge assigned"
"141","UNKNOWN","3","2025-10-23 19:01:21+02","denied","No badge assigned"
"142","UNKNOWN","1","2025-10-23 21:06:01+02","denied","No badge assigned"
"145","B-68F96B4B05AE3","13","2025-10-24 12:48:44+02","denied","Subscription expired or not yet active"
"146","B-68F96967BBEE1","12","2025-10-24 12:48:57+02","denied","Subscription expired or not yet active"
"147","B-68F94CC8AF409","8","2025-10-24 12:49:14+02","granted",NULL
"148","B-68F94CC8AF409","8","2025-10-24 12:49:18+02","granted",NULL
"149","B-68F94CC8AF409","8","2025-10-24 12:49:45+02","granted",NULL
"150","UNKNOWN","7","2025-10-24 12:49:48+02","denied","No badge assigned"
"151","B-68F96B4B05AE3","13","2025-10-24 13:47:13+02","denied","Subscription expired or not yet active"
"152","B-68F96B4B05AE3","13","2025-10-24 13:47:16+02","denied","Subscription expired or not yet active"
"153","B-68F96B4B05AE3","13","2025-10-24 13:47:20+02","denied","Subscription expired or not yet active"
"154","B-68F96967BBEE1","12","2025-10-24 13:47:22+02","denied","Subscription expired or not yet active"
"155","B-68F96967BBEE1","12","2025-10-24 13:47:26+02","denied","Subscription expired or not yet active"
"156","B-68F9651092F50","9","2025-10-24 13:47:34+02","granted",NULL
"157","B-68F96967BBEE1","12","2025-10-24 13:48:12+02","denied","Subscription expired or not yet active"
"158","B-68F96967BBEE1","12","2025-10-24 13:48:46+02","denied","Subscription expired or not yet active"
"159","B-68F9651092F50","9","2025-10-24 13:48:47+02","granted",NULL
"160","B-68F9651092F50","9","2025-10-24 13:53:40+02","granted",NULL
"161","B-68F9651092F50","9","2025-10-24 13:53:46+02","granted",NULL
"162","B-68F96967BBEE1","12","2025-10-24 13:54:44+02","denied","Subscription expired or not yet active"
"163","B-68F96967BBEE1","12","2025-10-24 14:02:43+02","denied","Subscription expired or not yet active"
"164","B-68F96B4B05AE3","13","2025-10-24 14:02:46+02","denied","Subscription expired or not yet active"
"166","B-68F96967BBEE1","12","2025-10-24 14:02:54+02","denied","Subscription expired or not yet active"
"167","UNKNOWN","7","2025-10-24 14:03:02+02","denied","No badge assigned"
"168","B-68F93720ACF83","6","2025-10-24 14:03:05+02","denied","Subscription expired or not yet active"
"169","B-68F92FCC766BC","5","2025-10-24 14:03:07+02","denied","Subscription expired or not yet active"
"170","B-68F96B4B05AE3","13","2025-10-24 14:09:09+02","denied","Abonnement expiré ou pas encore actif"
"171","B-68F96B4B05AE3","13","2025-10-24 14:09:14+02","denied","Abonnement expiré ou pas encore actif"
"172","B-68F96967BBEE1","12","2025-10-24 14:09:19+02","denied","Abonnement expiré ou pas encore actif"
"173","B-68F94CC8AF409","8","2025-10-24 14:09:23+02","denied","Jour non autorisé"
